ticker,ltp,macd,rsi,mfi,cci,ma20,ma50,ma200,adx,total
RLFL,301,-6.6845,41.7228,23.8733,-99.0176,316.665,319.354,310.0024,19.7595,-3
RIDI,192.9,-4.1181,40.5227,31.868,-86.8505,202.625,204.218,284.6186,16.1291,-1
RSDC,563,-3.3796,48.4912,37.0797,-42.2165,571.55,564.784,553.5643,20.9497,0
SALICO,675,-9.9839,41.8545,37.8938,-97.3363,691.335,704.25,736.6856,17.0108,-2
STC,5010,-106.2405,34.2185,26.3901,-127.5904,5259.405,5344.078,4486.56,34.578,-2
SMATA,650,1.3291,51.0067,31.1406,-54.0065,648.04,638.918,647.9352,33.4217,4
SKBBL,897,-3.5872,51.6573,46.1888,-22.2222,893.24,898.48,892.9658,14.0245,0
SANIMA,242.5,-4.7685,44.7285,20.0133,-37.8334,244.3489,257.7217,232.3094,18.4385,-1
SHPC,288,-6.7426,36.2078,2.0203,-94.8047,303.0255,309.204,307.7011,19.784,-4
SADBL,287,-5.8145,35.7998,18.2255,-112.7748,301.88,305.272,304.0853,18.2332,-4
SICL,725,-12.4908,43.5712,46.8517,-78.2856,735.505,759.118,766.9072,24.7718,-2
SHINE,368,-4.6576,44.497,45.6584,-69.5917,376.38,378.538,352.399,21.3439,0
SIFC,312.1,-7.851,41.8533,19.284,-93.4174,329.355,333.436,332.8864,20.8272,-4
SBL,245.9,-3.8701,39.2225,48.996,-82.3293,253.155,257.538,263.4168,17.5411,-1
SINDU,249.9,-3.5828,49.4229,28.1491,-57.9528,251.69,254.68,265.3925,14.4976,-2
SHL,390,-14.3298,31.3102,16.8462,-120.5895,421.28,438.486,335.713,28.3145,-3
SCB,525.3,-7.1958,42.9349,19.8571,-49.6223,531.03,548.082,521.642,23.9683,-3
SJLIC,499.8,-12.0361,40.126,20.546,-101.815,522.405,537.372,496.4715,32.7928,-2
SWBBL,795,-1.4644,53.569,40.8363,-1.0597,784.645,781.268,844.7972,15.6629,1
SLBBL,609,-14.9104,37.3325,9.8016,-95.9448,647.5,658.196,667.2488,18.4189,-4
SPDL,168.5,-3.8626,42.7599,19.0847,-79.9618,177.045,177.61,214.8307,22.9302,-3
TRH,660,-23.1034,34.7829,41.0916,-106.4842,705.655,743.868,603.946,27.4106,-1
UNL,35600,126.6678,49.9133,57.152,-20.4252,35578.335,35781.24,27689.906,21.5803,3
UMHL,176.9,-3.1623,44.3695,35.9549,-83.3029,183.945,185.05,223.9436,14.9278,-2
VLBS,582.5,-3.1001,45.1816,39.2328,-111.5692,599.77,598.736,653.9658,16.2028,-1
SWMF,600,-10.9295,40.3997,33.577,-85.6112,619.165,628.136,661.4288,16.4081,-2
NHDL,331.5,-4.023,47.0089,15.8552,-36.2867,337.35,342.744,373.7487,11.6002,-3
SMB,933,-8.2462,46.4421,23.5239,-40.7996,946.85,967.66,992.3017,13.849,-3
RADHI,213,-2.4143,46.0516,29.0333,-76.1982,220.325,216.044,241.3338,15.9514,-2
CORBL,320.2,-1.4719,47.5229,54.0701,-57.409,324.78,324.572,313.3776,25.786,1
WNLB,738,-1.6499,52.1153,74.264,79.3635,728.76,735.752,825.302,11.0526,3
NADEP,508,-7.4251,44.2395,41.1569,-63.6847,518.17,524.806,591.0885,12.5133,-2
PMHPL,177.9,-0.9427,57.6778,65.5989,12.1874,172.87,171.062,216.2795,21.663,3
KPCL,296.7,-9.6986,37.9044,11.8831,-80.5871,320.725,328.256,360.7691,25.3065,-3
AKJCL,152,-2.9211,44.8249,26.3208,-94.4268,157.925,159.004,200.4485,17.6933,-2
JOSHI,204.1,-3.7625,47.2245,33.7039,-75.7317,208.6,210.84,249.7375,15.5078,-1
UPPER,199,-5.0784,39.2298,27.8191,-80.5055,206.965,216.34,263.0905,10.1171,-4
SLBSL,750,-11.3399,41.5624,7.6134,-88.6701,779.05,811.064,876.1584,16.7804,-4
GHL,133,-0.2308,53.8284,55.8926,-34.1629,133.1617,128.9327,144.2542,28.5328,2
ALBSL,680,-9.2153,48.0526,34.0284,-73.1761,687.755,703.492,753.3316,27.5524,-1
SHIVM,506,-7.1922,43.3381,21.6771,-96.3178,523.415,526.418,507.2118,20.2714,-3
UPCL,174,-3.5014,39.9327,21.65,-91.2508,184.25,185.44,224.6675,18.9871,-2
MHNL,188,-2.6681,43.7915,26.0167,-81.265,197.085,193.648,259.3395,19.3112,-2
PPCL,217.1,-4.6087,40.5613,26.3391,-96.0898,228.86,232.078,303.465,14.1825,-3
HURJA,229.9,-2.833,49.5747,42.2505,-55.6835,236.27,230.57,286.6205,15.8005,0
GLBSL,650,-10.3475,40.2616,30.8916,-151.9434,680.84,698.09,737.5627,10.9832,-3
